,loss,val_loss
0,901620.4375,814723.1875
1,753250.0625,689933.0
2,646797.5,601298.25
3,568775.5625,533737.0
4,507828.28125,479527.4375
5,458134.875,434549.28125
6,416448.375,396360.875
7,380771.78125,363386.8125
8,349781.90625,334551.59375
9,322551.21875,309076.625
10,298402.96875,286386.78125
11,276825.96875,266039.96875
12,257424.90625,247689.15625
13,239886.875,231056.109375
14,223959.8125,215917.140625
15,209437.890625,202085.84375
16,196150.34375,189408.390625
17,183954.5,177753.59375
18,172729.15625,167011.578125
19,162371.625,157087.703125
20,152792.984375,147899.40625
21,143916.59375,139375.359375
22,135675.46875,131454.078125
23,128011.078125,124080.671875
24,120871.8203125,117207.0078125
25,114211.9609375,110789.96875
26,107990.984375,104791.84375
27,102172.765625,99178.328125
28,96724.7578125,93918.5625
29,91617.9140625,88985.7890625
30,86826.078125,84354.265625
31,82325.375,80002.515625
32,78094.4921875,75909.53125
33,74113.8515625,72057.0234375
34,70365.6640625,68427.8515625
35,66833.6875,65006.8203125
36,63503.13671875,61779.6640625
37,60360.3671875,58733.53125
38,57393.01171875,55856.26171875
39,54589.47265625,53137.20703125
40,51939.23828125,50565.64453125
41,49432.57421875,48132.88671875
42,47060.44921875,45830.3125
43,44814.484375,43649.5234375
44,42687.05078125,41582.9140625
45,40670.91015625,39624.4609375
46,38759.46875,37767.02734375
47,36946.5,36004.89453125
48,35226.26953125,34332.75390625
49,33593.45703125,32744.9375
50,32042.984375,31237.5078125
51,30570.203125,29804.62890625
52,29170.78125,28443.392578125
53,27840.556640625,27148.830078125
54,26575.822265625,25918.197265625
55,25372.916015625,24747.58203125
56,24228.509765625,23633.240234375
57,23139.462890625,22572.76953125
58,22102.814453125,21563.810546875
59,21115.775390625,20602.10546875
60,20175.759765625,19686.470703125
61,19280.333984375,18814.30859375
62,18427.154296875,17983.0078125
63,17614.078125,17190.947265625
64,16839.03125,16436.583984375
65,16100.1005859375,15715.4150390625
66,15395.44140625,15028.5400390625
67,14723.3291015625,14373.08984375
68,14082.1337890625,13748.3369140625
69,13470.3505859375,13151.6337890625
70,12886.5185546875,12582.546875
71,12329.2802734375,12039.123046875
72,11797.3154296875,11520.2236328125
73,11289.39453125,11024.8359375
74,10804.3505859375,10551.75390625
75,10341.1318359375,10099.546875
76,9898.666015625,9668.001953125
77,9475.9482421875,9256.0390625
78,9072.0439453125,8861.4892578125
79,8686.0439453125,8485.0478515625
80,8317.1435546875,8124.81298828125
81,7964.5087890625,7780.9482421875
82,7627.38671875,7451.55419921875
83,7305.07470703125,7136.86376953125
84,6996.8427734375,6836.02734375
85,6702.07470703125,6548.34814453125
86,6420.16552734375,6273.2236328125
87,6150.53076171875,6009.900390625
88,5892.57470703125,5757.9990234375
89,5645.771484375,5517.07470703125
90,5409.6318359375,5286.568359375
91,5183.69091796875,5066.05517578125
92,4967.4697265625,4854.9697265625
93,4760.54736328125,4652.9453125
94,4562.54443359375,4459.40771484375
95,4373.04150390625,4274.3125
96,4191.6103515625,4097.27392578125
97,4017.918212890625,3927.330322265625
98,3851.587646484375,3764.966064453125
99,3692.297607421875,3609.490966796875
100,3539.772705078125,3460.275390625
101,3393.725830078125,3317.734130859375
102,3253.84912109375,3181.0234375
103,3119.841552734375,3050.042724609375
104,2991.479736328125,2924.820068359375
105,2868.51904296875,2804.5478515625
106,2750.724365234375,2689.598876953125
107,2637.8525390625,2579.2138671875
108,2529.693603515625,2473.470458984375
109,2426.06494140625,2372.1650390625
110,2326.796875,2275.286376953125
111,2231.706298828125,2182.30859375
112,2140.594970703125,2093.31298828125
113,2053.320556640625,2007.9996337890625
114,1969.694580078125,1926.287109375
115,1889.52392578125,1848.20166015625
116,1812.7218017578125,1773.0826416015625
117,1739.1417236328125,1701.1807861328125
118,1668.62939453125,1632.4581298828125
119,1601.1151123046875,1566.1217041015625
120,1536.3858642578125,1503.0599365234375
121,1474.3028564453125,1442.2135009765625
122,1414.82958984375,1384.08984375
123,1357.8447265625,1328.4290771484375
124,1303.3642578125,1275.54736328125
125,1251.1312255859375,1224.4132080078125
126,1201.1400146484375,1175.449462890625
127,1153.29443359375,1128.5093994140625
128,1107.2698974609375,1083.75048828125
129,1063.118896484375,1040.2608642578125
130,1020.8490600585938,999.1348266601562
131,980.2879028320312,959.7823486328125
132,941.4841918945312,921.5457763671875
133,904.3236083984375,885.1239624023438
134,868.70751953125,850.7918701171875
135,834.591796875,817.0359497070312
136,801.9154052734375,785.1883544921875
137,770.6173095703125,754.4141845703125
138,740.5444946289062,725.1737060546875
139,711.72802734375,697.1328125
140,684.1803588867188,670.02685546875
141,657.9031372070312,644.4747924804688
142,632.8530883789062,620.1193237304688
143,608.90673828125,596.4318237304688
144,585.8201904296875,574.0087890625
145,563.7672119140625,552.7040405273438
146,542.8795166015625,532.28076171875
147,522.7728271484375,512.8892211914062
148,503.4131164550781,493.4584655761719
149,484.84478759765625,475.5934143066406
150,467.1903381347656,458.18988037109375
151,450.4430236816406,442.0227355957031
152,434.36566162109375,426.27374267578125
153,418.7290344238281,410.9725036621094
154,403.9158020019531,396.75274658203125
155,389.8172302246094,382.7855529785156
156,376.38275146484375,369.52056884765625
157,363.5174255371094,357.0450439453125
158,351.29296875,345.1861572265625
159,339.5478515625,333.7646179199219
160,328.3459167480469,322.865234375
161,317.6363220214844,312.3784484863281
162,307.3416442871094,302.3512268066406
163,297.54248046875,292.60089111328125
164,288.10736083984375,283.2566223144531
165,279.0340881347656,274.4593505859375
166,270.4884338378906,266.2624816894531
167,262.3429260253906,258.29534912109375
168,254.59738159179688,250.8155517578125
169,247.1024169921875,243.5994873046875
170,239.94052124023438,236.37686157226562
171,233.1161346435547,229.9900665283203
172,226.5829315185547,223.40016174316406
173,220.19381713867188,217.0597686767578
174,214.1352996826172,211.24208068847656
175,208.32669067382812,205.74440002441406
176,202.84292602539062,200.19163513183594
177,197.60516357421875,195.13909912109375
178,192.61859130859375,190.17771911621094
179,187.82330322265625,185.53189086914062
180,183.1807403564453,181.06243896484375
181,178.72743225097656,176.74871826171875
182,174.44627380371094,172.23507690429688
183,170.17556762695312,168.15248107910156
184,166.12210083007812,164.23956298828125
185,162.2300262451172,160.32598876953125
186,158.45289611816406,156.57366943359375
187,154.7914581298828,153.0843048095703
188,151.26295471191406,149.6096954345703
189,147.86614990234375,146.2469940185547
190,144.5325469970703,142.9045867919922
191,141.34017944335938,139.97300720214844
192,138.42169189453125,137.20140075683594
193,135.52101135253906,134.17311096191406
194,132.71572875976562,131.44851684570312
195,129.8948211669922,128.65711975097656
196,127.19599151611328,125.92218017578125
197,124.58675384521484,123.49866485595703
198,122.1564712524414,121.11071014404297
199,119.82624053955078,118.7098617553711
200,117.44275665283203,116.34123229980469
201,115.17475128173828,114.21685791015625
202,113.04734802246094,112.12348937988281
203,111.01014709472656,110.07584381103516
204,108.9393539428711,108.07144927978516
205,106.88959503173828,105.97795867919922
206,104.92988586425781,104.10550689697266
207,103.1080551147461,102.3396987915039
208,101.34818267822266,100.53166198730469
209,99.58103942871094,98.80470275878906
210,97.87676239013672,97.12187194824219
211,96.17423248291016,95.4469985961914
