,loss,val_loss
0,957769.375,942931.75
1,930421.9375,915933.9375
2,903740.0625,889603.0625
3,877709.6875,863918.1875
4,852321.125,838876.75
5,827564.125,814449.6875
6,803424.6875,790640.5
7,779892.125,767433.0
8,756956.375,744810.6875
9,734603.1875,722768.9375
10,712823.4375,701293.875
11,691605.0,680374.0625
12,670936.5,659997.0
13,650807.0,640154.875
14,631206.5,620837.4375
15,612123.375,602026.625
16,593546.0,583719.25
17,575465.5625,565904.9375
18,557870.875,548566.4375
19,540750.75,531696.3125
20,524095.59375,515290.6875
21,507895.65625,499331.53125
22,492140.15625,483810.90625
23,476819.65625,468722.34375
24,461924.25,454051.125
25,447444.34375,439794.15625
26,433370.8125,425935.03125
27,419693.375,412467.3125
28,406403.84375,399384.0
29,393492.21875,386673.34375
30,380950.71875,374326.78125
31,368769.09375,362336.25
32,356939.625,350692.25
33,345453.8125,339388.53125
34,334302.8125,328415.15625
35,323478.8125,317764.5625
36,312973.59375,307429.0625
37,302779.0,297398.59375
38,292887.15625,287666.8125
39,283290.4375,278227.125
40,273981.5,269070.59375
41,264952.65625,260189.796875
42,256196.921875,251577.65625
43,247706.96875,243228.90625
44,239475.859375,235134.5
45,231496.71875,227288.3125
46,223762.765625,219684.296875
47,216267.53125,212314.96875
48,209004.390625,205175.578125
49,201967.515625,198257.984375
50,195150.21875,191556.34375
51,188546.53125,185066.25
52,182150.6875,178780.375
53,175956.8125,172692.46875
54,169959.140625,166798.671875
55,164152.375,161093.1875
56,158530.8125,155569.4375
57,153089.421875,150223.375
58,147822.765625,145048.84375
59,142726.03125,140041.578125
60,137794.21875,135196.9375
61,133022.484375,130509.4375
62,128406.1640625,125975.1171875
63,123940.6953125,121589.4453125
64,119621.4921875,117347.5546875
65,115444.3671875,113245.203125
66,111404.921875,109278.71875
67,107499.1796875,105443.171875
68,103722.9921875,101735.203125
69,100072.3984375,98151.328125
70,96543.6171875,94686.765625
71,93132.90625,91338.203125
72,89836.6875,88102.3359375
73,86651.34375,84975.453125
74,83573.4921875,81954.15625
75,80599.75,79035.578125
76,77726.84375,76216.078125
77,74951.609375,73492.1953125
78,72271.015625,70861.3125
79,69682.0390625,68320.6328125
80,67181.7265625,65867.1328125
81,64767.3046875,63497.98828125
82,62435.97265625,61210.1875
83,60185.13671875,59001.95703125
84,58012.12109375,56869.984375
85,55914.390625,54812.015625
86,53889.54296875,52825.4765625
87,51935.1875,50908.41015625
88,50049.02734375,49057.98046875
89,48228.85546875,47272.39453125
90,46472.40625,45549.81640625
91,44777.6484375,43887.10546875
92,43142.52734375,42283.21875
93,41565.03125,40736.3203125
94,40043.21875,39244.2890625
95,38575.296875,37804.4140625
96,37159.3984375,36415.7265625
97,35793.7734375,35076.68359375
98,34476.7890625,33785.22265625
99,33206.73828125,32539.865234375
100,31982.03515625,31338.970703125
101,30801.12109375,30181.205078125
102,29662.533203125,29065.181640625
103,28564.796875,27988.796875
104,27506.568359375,26951.16796875
105,26486.384765625,25951.431640625
106,25503.0,24987.072265625
107,24555.15234375,24057.779296875
108,23641.6171875,23162.3046875
109,22761.150390625,22299.32421875
110,21912.626953125,21468.037109375
111,21094.958984375,20666.3046875
112,20307.0546875,19894.052734375
113,19547.8515625,19149.611328125
114,18816.388671875,18432.798828125
115,18111.603515625,17742.1171875
116,17432.6484375,17077.150390625
117,16778.541015625,16435.634765625
118,16148.4501953125,15818.0947265625
119,15541.5068359375,15223.2587890625
120,14956.8740234375,14650.451171875
121,14393.767578125,14098.71875
122,13851.4296875,13567.025390625
123,13329.1201171875,13055.7958984375
124,12826.1240234375,12562.7568359375
125,12341.748046875,12088.3896484375
126,11875.2939453125,11630.9970703125
127,11426.1494140625,11191.0048828125
128,10993.6806640625,10767.4453125
129,10577.2783203125,10359.294921875
130,10176.3701171875,9966.369140625
131,9790.3955078125,9588.7705078125
132,9418.8251953125,9224.375
133,9061.099609375,8873.7685546875
134,8716.76171875,8536.4404296875
135,8385.29296875,8211.625
136,8066.21435546875,7899.23974609375
137,7759.09521484375,7598.44287109375
138,7463.46484375,7308.6240234375
139,7178.9013671875,7029.884765625
140,6905.0263671875,6761.83642578125
141,6641.4296875,6503.60498046875
142,6387.7275390625,6254.93798828125
143,6143.56982421875,6015.708984375
144,5908.60498046875,5785.6865234375
145,5682.50146484375,5564.18359375
146,5464.93212890625,5351.1298828125
147,5255.583984375,5145.89013671875
148,5054.14990234375,4948.69482421875
149,4860.32958984375,4758.890625
150,4673.84033203125,4576.146484375
151,4494.45458984375,4400.56201171875
152,4321.84130859375,4231.720703125
153,4155.7841796875,4069.0107421875
154,3996.056640625,3912.655517578125
155,3842.4052734375,3762.172607421875
156,3694.60546875,3617.38037109375
157,3552.46728515625,3478.197509765625
158,3415.767822265625,3344.412841796875
159,3284.30029296875,3215.806640625
160,3157.865478515625,3091.897216796875
161,3036.257568359375,2972.814697265625
162,2919.316162109375,2858.23876953125
163,2806.808349609375,2748.189453125
164,2698.6201171875,2642.20654296875
165,2594.582275390625,2540.281982421875
166,2494.5185546875,2442.4189453125
167,2398.302001953125,2348.299072265625
168,2305.758056640625,2257.521484375
169,2216.75048828125,2170.4384765625
170,2131.167724609375,2086.6220703125
171,2048.851806640625,2006.0052490234375
172,1969.71337890625,1928.54736328125
173,1893.593994140625,1853.9847412109375
174,1820.3758544921875,1782.29541015625
175,1749.9925537109375,1713.258544921875
176,1682.35107421875,1647.2401123046875
177,1617.3201904296875,1583.6334228515625
178,1554.8013916015625,1522.41845703125
179,1494.6842041015625,1463.52001953125
180,1436.947998046875,1407.10009765625
181,1381.5389404296875,1352.7908935546875
182,1328.28515625,1300.7374267578125
183,1277.1220703125,1250.5958251953125
184,1227.9595947265625,1202.480224609375
185,1180.76416015625,1156.3424072265625
186,1135.4188232421875,1111.883544921875
187,1091.8890380859375,1069.5185546875
188,1050.0736083984375,1028.28466796875
189,1009.84765625,989.3380126953125
190,971.2228393554688,951.2692260742188
191,934.2210083007812,915.2052001953125
192,898.6123657226562,880.1034545898438
193,864.4537963867188,846.798828125
194,831.752197265625,814.9549560546875
195,800.3499755859375,784.0918579101562
196,770.23681640625,754.6322021484375
197,741.2752075195312,726.2630615234375
198,713.3091430664062,698.9161987304688
199,686.4894409179688,672.7843627929688
200,660.9293212890625,647.7786865234375
201,636.4547119140625,623.748291015625
