,loss,val_loss
0,905969.0625,818658.75
1,756883.25,693264.4375
2,649917.375,604200.8125
3,571519.3125,536313.3125
4,510278.1875,481841.75
5,460345.125,436647.125
6,418457.46875,398274.0
7,382608.75,365140.6875
8,351469.3125,336166.375
9,324107.34375,310568.40625
10,299842.65625,287769.0
11,278161.46875,267324.09375
12,258666.875,248884.4375
13,241044.203125,232171.0625
14,225040.3125,216959.234375
15,210448.328125,203061.078125
16,197096.59375,190322.375
17,184841.921875,178611.390625
18,173562.515625,167817.375
19,163155.015625,157845.640625
20,153530.15625,148612.9375
21,144610.921875,140048.109375
22,136330.0625,132088.328125
23,128628.703125,124679.4765625
24,121454.953125,117772.6171875
25,114762.96875,111324.421875
26,108512.046875,105297.265625
27,102665.6875,99656.640625
28,97191.40625,94371.578125
29,92059.9609375,89414.859375
30,87244.96875,84761.3359375
31,82722.6171875,80388.5625
32,78471.296875,76275.6796875
33,74471.4296875,72404.609375
34,70705.1640625,68758.046875
35,67156.140625,65320.5859375
36,63809.515625,62077.7265625
37,60651.6328125,59016.68359375
38,57669.921875,56125.5078125
39,54852.89453125,53393.33984375
40,52189.86328125,50809.59765625
41,49671.10546875,48365.55859375
42,47287.53125,46051.140625
43,45030.796875,43859.8125
44,42893.08203125,41783.4921875
45,40867.265625,39815.515625
46,38946.60546875,37949.16015625
47,37124.828125,36178.5859375
48,35396.3359375,34498.19921875
49,33755.62109375,32903.1328125
50,32197.70703125,31387.771484375
51,30717.7890625,29948.2578125
52,29311.587890625,28580.37890625
53,27974.943359375,27280.11328125
54,26704.091796875,26042.955078125
55,25495.41796875,24866.70703125
56,24345.48828125,23747.01953125
57,23251.19921875,22681.6796875
58,22209.595703125,21667.3515625
59,21217.865234375,20701.931640625
60,20273.392578125,19781.484375
61,19373.654296875,18905.189453125
62,18516.390625,18069.7890625
63,17699.39453125,17273.8046875
64,16920.603515625,16514.7890625
65,16178.1015625,15791.642578125
66,15470.0400390625,15101.1259765625
67,14794.7109375,14442.7373046875
68,14150.462890625,13814.6142578125
69,13535.76171875,13215.4248046875
70,12949.1396484375,12643.2998046875
71,12389.1962890625,12097.3388671875
72,11854.662109375,11575.9267578125
73,11344.3759765625,11078.4599609375
74,10857.056640625,10602.93359375
75,10391.6015625,10148.7919921875
76,9946.9677734375,9715.345703125
77,9522.1923828125,9300.703125
78,9116.33203125,8904.8046875
79,8728.4970703125,8526.37109375
80,8357.83203125,8164.8671875
81,8003.49365234375,7818.77978515625
82,7664.72802734375,7488.18408203125
83,7340.81884765625,7171.73046875
84,7031.09375,6869.51171875
85,6734.919921875,6580.6826171875
86,6451.619140625,6303.86962890625
87,6180.646484375,6039.4375
88,5921.43310546875,5786.24658203125
89,5673.48828125,5544.02978515625
90,5436.22314453125,5312.40966796875
91,5209.16015625,5090.8251953125
92,4991.88037109375,4878.53369140625
93,4783.8994140625,4675.43359375
94,4584.85693359375,4480.94189453125
95,4394.3232421875,4294.96142578125
