,loss,val_loss
0,941417.3125,926826.6875
1,914536.8125,900296.25
2,888310.6875,874415.0
3,862724.625,849168.25
4,837769.625,824554.6875
5,813435.3125,800544.5625
6,789708.0,777142.0
7,766577.4375,754330.625
8,744033.125,732094.625
9,722061.6875,710428.75
10,700653.8125,689321.25
11,679797.5625,668759.125
12,659481.875,648729.25
13,639696.25,629225.875
14,620430.1875,610237.6875
15,601673.0,591748.5
16,583412.9375,573753.9375
17,565641.0625,556244.375
18,548346.8125,539200.9375
19,531519.0,522619.65625
20,515148.1875,506493.59375
21,499224.875,490805.90625
22,483738.21875,475551.75
23,468679.28125,460720.21875
24,454038.09375,446299.59375
25,439805.46875,432285.625
26,425972.21875,418663.40625
27,412528.1875,405425.40625
28,399465.59375,392565.90625
29,386774.4375,380071.71875
30,374446.875,367936.40625
31,362473.28125,356150.5
32,350845.75,344705.53125
33,339555.96875,333594.5
34,328595.3125,322808.46875
35,317956.09375,312339.78125
36,307630.21875,302180.9375
37,297609.625,292320.96875
38,287886.59375,282755.0
39,278453.875,273476.53125
40,269303.65625,264476.5
41,260429.0625,255747.390625
42,251822.765625,247283.1875
43,243477.71875,239075.96875
44,235387.203125,231119.578125
45,227544.234375,223407.84375
46,219942.375,215933.9375
47,212575.125,208690.609375
48,205435.96875,201673.265625
49,198519.109375,194872.859375
50,191818.171875,188285.84375
51,185327.328125,181906.734375
52,179040.578125,175727.671875
53,172952.484375,169744.421875
54,167057.25,163950.5625
55,161349.5625,158342.234375
56,155823.90625,152913.203125
57,150475.40625,147657.8125
58,145298.734375,142572.140625
59,140288.984375,137650.21875
60,135441.34375,132888.328125
61,130751.078125,128280.9140625
62,126213.5234375,123824.5546875
63,121824.2890625,119513.2734375
64,117578.859375,115343.765625
65,113473.0,111311.6015625
66,109502.5546875,107412.375
67,105663.4765625,103642.8125
68,101951.6875,99998.765625
69,98363.4609375,96475.2421875
70,94894.9453125,93069.9765625
71,91542.4375,89778.296875
72,88302.5078125,86597.8046875
73,85171.640625,83524.4375
74,82146.265625,80554.6015625
75,79223.2734375,77685.4609375
76,76399.4296875,74914.0859375
77,73671.609375,72236.7734375
78,71036.78125,69650.984375
79,68492.03125,67153.6875
80,66034.4140625,64742.2421875
81,63661.1875,62413.3203125
82,61369.6875,60164.83203125
83,59157.33984375,57994.27734375
84,57021.3984375,55898.51171875
85,54959.51171875,53876.00390625
86,52969.26171875,51923.40625
87,51048.31640625,50038.72265625
88,49194.35546875,48220.0625
89,47405.25,46465.12109375
90,45678.859375,44771.69140625
91,44012.98828125,43138.08984375
92,42405.81640625,41561.44140625
93,40855.23046875,40040.8515625
94,39359.4375,38573.80859375
95,37916.6015625,37159.0859375
96,36524.87109375,35793.95703125
97,35182.62109375,34477.78515625
98,33888.109375,33208.31640625
99,32639.720703125,31984.505859375
100,31435.91796875,30803.826171875
101,30275.154296875,29665.98828125
102,29156.01953125,28568.513671875
103,28077.076171875,27510.775390625
104,27036.84375,26490.95703125
105,26034.095703125,25507.861328125
106,25067.513671875,24560.140625
107,24135.892578125,23646.984375
108,23237.92578125,22766.822265625
109,22372.513671875,21919.830078125
110,21538.49609375,21101.03125
111,20734.80859375,20313.37890625
112,19960.373046875,19553.814453125
113,19214.16796875,18822.4765625
114,18495.18359375,18118.259765625
115,17802.4453125,17438.9921875
116,17135.060546875,16785.333984375
117,16492.171875,16154.8134765625
118,15872.876953125,15547.947265625
119,15276.359375,14963.4267578125
120,14701.7314453125,14400.173828125
121,14148.251953125,13857.9677734375
122,13615.1923828125,13335.9150390625
123,13101.8193359375,12832.5908203125
124,12607.4296875,12348.05859375
125,12131.3046875,11881.689453125
126,11672.8134765625,11432.3349609375
127,11231.3359375,10999.7587890625
128,10806.2294921875,10583.333984375
129,10396.9228515625,10182.341796875
130,10002.91015625,9796.76953125
131,9623.5322265625,9424.763671875
132,9258.2822265625,9066.8076171875
133,8906.6259765625,8722.296875
134,8568.1298828125,8391.015625
135,8242.2880859375,8071.544921875
136,7928.62890625,7764.4912109375
137,7626.724609375,7468.3935546875
138,7336.13525390625,7184.21630859375
139,7056.43115234375,6909.82763671875
140,6787.25146484375,6646.30712890625
