"","x"
"1",0.631894667111507
"2",0.166176235765264
"3",0.0029264729191782
"4",0.555906641417543
"5",0.263067652897033
"6",0.984652030452232
"7",0.465975851149136
"8",0.766494655226804
"9",0.256615302190768
"10",0.836620702105815
"11",0.387594345804259
"12",0.416989279813077
"13",0.0898746602987463
"14",0.697626632336013
"15",0.408833849315409
"16",0.521673772931059
"17",0.21139694460516
"18",0.727549007763153
"19",0.782817123779995
"20",0.77986436861015
"21",0.155697518742093
"22",0.971555425786967
"23",0.0153438857600333
"24",0.48789034364524
"25",0.760334807873228
"26",0.197812793649177
"27",0.7104612982762
"28",0.942213651332756
"29",0.55458857410026
"30",0.115197926041956
"31",0.274316299930619
"32",0.59539720453081
"33",0.518907250206395
"34",0.0982870211333449
"35",0.283206548137804
"36",0.601603691765371
"37",0.0124416029930131
"38",0.0139744261668757
"39",0.695397446686952
"40",0.291901462409653
"41",0.547106203634256
"42",0.412197645812217
"43",0.144305065237018
"44",0.198409536335655
"45",0.303772571639067
"46",0.731430485476472
"47",0.85025787049325
"48",0.346595871251135
"49",0.576621823719096
"50",0.480839343856197
"51",0.182069767611939
"52",0.473961459592003
"53",0.43400491869121
"54",0.533776615505893
"55",0.638798751135294
"56",0.250752916356016
"57",0.986782847663729
"58",0.817636054069533
"59",0.757945843313375
"60",0.122773245400488
"61",0.135873611818259
"62",0.181570541657212
"63",0.00892793920387921
"64",0.6452493289952
"65",0.704657237276749
"66",0.391446783961021
"67",0.169326272697683
"68",0.993278603271255
"69",0.50393795889766
"70",0.929119626695255
"71",0.597116368144828
"72",0.418114530073238
"73",0.521112826275591
"74",0.711834979594373
"75",0.873928466430308
"76",0.200147824837426
"77",0.911924404080649
"78",0.939619650243999
"79",0.0813231450551292
"80",0.877565035731969
"81",0.212569448381385
"82",0.772359133644623
"83",0.0513906620765776
"84",0.686969967009477
"85",0.827872199119588
"86",0.0644978827309378
"87",0.294870174487338
"88",0.467402765405316
"89",0.812770435398269
"90",0.63509366143928
"91",0.677439322063254
"92",0.442967088472982
"93",0.580947538040686
"94",0.750405597293038
"95",0.350324957797504
"96",0.324643404590232
"97",0.0836897715595391
"98",0.605456916230176
"99",0.00112291773750693
"100",0.616321157366944
"101",0.060168749445813
"102",0.899379615100315
"103",0.000366908696032907
"104",0.306980850417804
"105",0.0158045022752987
"106",0.542436756777401
"107",0.428946751082825
"108",0.458805400546526
"109",0.176087181887559
"110",0.221181429379206
"111",0.515152135204101
"112",0.60521829710402
"113",0.442465209507858
"114",0.10438060966449
"115",0.660964251409919
"116",0.79169946325435
"117",0.130094488655905
"118",0.440760042463601
"119",0.345424840585576
"120",0.542127540625755
"121",0.879678596791119
"122",0.356136118780959
"123",0.769636016435605
"124",0.663771585605097
"125",0.20062755724748
"126",0.656898930326125
"127",0.808626182430988
"128",0.109398315301616
"129",0.676503284443101
"130",0.086095717299639
"131",0.937490999156334
"132",0.303736575737842
"133",0.270328295586726
"134",0.749079555104452
"135",0.626581946858975
"136",0.762544942002043
"137",0.451410573984461
"138",0.996263090619839
"139",0.0776159985190563
"140",0.0534138051900917
"141",0.170691925265522
"142",0.414449190896285
"143",0.00372190628584008
"144",0.37081225700523
"145",0.572969748770954
"146",0.656930583414952
"147",0.12249594487932
"148",0.302847704690563
"149",0.184170209221189
"150",0.153096706483576
"151",0.425981185032351
"152",0.311499324169735
"153",0.411274274156268
"154",0.372910679350465
"155",0.469704859494925
"156",0.14869383478419
"157",0.275336347812394
"158",0.440642257704244
"159",0.925570163501865
"160",0
"161",0.607027952545143
"162",0.442862373099762
"163",0.488348806233611
"164",0.889714387107763
"165",0.086941822605376
"166",0.294516830166389
"167",0.868072555762856
"168",0.706962775772317
"169",0.0507179203544603
"170",0.430098500104344
"171",0.562856385836768
"172",0.806271953119413
"173",0.854752080688555
"174",0.836643887781745
"175",0.593751692360106
"176",0.671900523609822
"177",0.0663678656316622
"178",0.538871102422679
"179",0.466299584501379
"180",0.464949367695563
"181",0.573513726746536
"182",9.42402055060336e-05
"183",0.10048182217922
"184",0.463823001523762
"185",0.617812804332857
"186",0.419349827588667
"187",0.732148780789445
"188",0.324741025456873
"189",0.367011552171153
"190",0.895353870635476
"191",0.388778712070795
"192",0.720376034196416
"193",0.641255630246378
"194",0.4017236416939
"195",0.209584586719128
"196",0.118281304456484
"197",0.853002088191503
"198",0.799346758644111
"199",0.774736385595538
"200",0.412866435120151
"201",0.520075495219186
"202",0.989245864018941
"203",0.336403123593753
"204",0.380470316840773
"205",0.311146003212844
"206",0.577017074091633
"207",0.696890278727993
"208",0.606938242312355
"209",0.702969555281816
"210",0.164873944528094
"211",0.378324571091018
"212",0.44318714393779
"213",0.388513311169183
"214",0.799217781732938
"215",0.95845612272399
"216",0.253613360232863
"217",0.769020826841136
"218",0.715478431132948
"219",0.697552087332345
"220",0.690153182176367
"221",0.576801191235938
"222",0.577017968270273
"223",0.239530219100332
"224",0.459831351872826
"225",0.644949127183287
"226",0.288199295164432
"227",0.194599507129187
"228",0.844098576208179
"229",0.785412216379738
"230",0.00783113858260487
"231",0.862337628898787
"232",0.666392484630669
"233",0.524821543450819
"234",0.54101909314169
"235",0.509559290041078
"236",0.362660721085457
"237",0.71516147934046
"238",0.761720507569743
"239",0.155755356268418
"240",0.557805564456349
"241",0.467372293472108
"242",0.724902278514154
"243",0.857268165247794
"244",0.692959460387651
"245",0.974271782502634
"246",0.469410331415132
"247",0.145256206656514
"248",0.312475297126774
"249",0.336302830365755
"250",0.268539145199821
"251",0.7572064261841
"252",0.768889444987982
"253",0.161594968279198
"254",0.913208651146769
"255",0.834655723673709
"256",0.577625955587874
"257",0.442036117719304
"258",0.560036355779901
"259",0.621001342478132
"260",0.498144074326903
"261",0.043148013984975
"262",1.00040843091883
"263",0.964975405533479
"264",0.79251072460452
"265",0.25910016280449
"266",0.291852272491607
"267",0.0625314849841661
"268",0.833065582202471
"269",0.0655277499244994
"270",0.222641727612183
"271",0.629724159983551
"272",0.666473226901407
"273",0.667566781902369
"274",0
"275",0.843038944529622
"276",0.0162671724427644
"277",0.135353930375982
"278",0.43035599664267
"279",0.119340028854663
"280",0.561456498024725
"281",0.0525957283264576
"282",0.413570059393373
"283",0.338287029417967
"284",0.561658567838685
"285",0.0465475107612501
"286",0.102154662081563
"287",0.861827823587705
"288",0.170778614585557
"289",0.342450619908182
"290",0.820544615799282
"291",0.411310896472979
"292",0.95777200438027
"293",0.525665196114329
"294",0.188683415043161
"295",0.87751766812081
"296",0.0698852243097206
"297",0.795054369814417
"298",0.584599435633156
"299",0.386411547456713
"300",0.0284084326443455
"301",0.0599518896943476
"302",0.370541175532721
"303",0.682020985178198
"304",0.926406808174149
"305",0.769536239230839
"306",0.541573817743251
"307",0.491636341408984
"308",0.449562788659577
"309",0.215203084126095
"310",0.303205906084617
"311",0.425434225941371
"312",0.54296718438363
"313",0.453197574877635
"314",0.746099369033272
"315",0.298066140590445
"316",0.668042129466999
"317",0.31139167415318
"318",0.393924668591072
"319",0.592000123255951
"320",0.671351473411212
"321",0.605947741447829
"322",0.128519799463504
"323",0.325226490254263
"324",0.551211766579449
"325",0.989017470689712
"326",0.810028903728845
"327",0.434931293131953
"328",0.144311719894233
"329",0.744184788993078
"330",0.818180756722903
"331",0.284733498276086
"332",0.901282231674588
"333",0.4659598106388
"334",0.784967302213689
"335",0.848118622984343
"336",0.919314980175311
"337",0.101264042897889
"338",0.758544561931138
"339",0.574784172423919
"340",0.232941156906304
"341",0.737810814832916
"342",0.622497615278612
"343",0.0914978325696663
"344",0.259346265749594
"345",0.0440261455741911
"346",0.471519013135212
"347",0.0424978109352695
"348",0.478440585939139
"349",0.127738104856111
"350",0.603635201077712
"351",0.492259359641783
"352",0.970244481820834
"353",0.155037972043569
"354",0.508944510725497
"355",0.904696492154797
"356",0.577253015427263
"357",1.00046806962171
"358",0.2027719212675
"359",0.265454508470098
"360",0.672637954820141
"361",0.723748658788792
"362",0.546387809821838
"363",0.215967896164582
"364",0.277810039193168
"365",0.734679249130349
"366",0.390010753389537
"367",0.326926205547671
"368",0.929949405096266
"369",0.706234596194106
"370",0
"371",0.573971236016718
"372",0.753680569638444
"373",0.591689988107217
"374",0.0538504324701857
"375",0.577178214387
"376",0.187425090057866
"377",0.194752687152206
"378",0.0527696010209423
"379",0.26374796398685
"380",0.538588352286642
"381",0.57326640901662
"382",0.233603668600936
"383",0.451111404545996
"384",0.127360594664162
"385",0.0390711459046736
"386",0.651290136066155
"387",0.373318080150089
"388",0.301874623648163
"389",0.313292935092821
"390",0.694744431887359
"391",0.0480851430792944
"392",0.663652350509308
"393",0.387322089039468
"394",0.3302993365079
"395",0.180044776139829
"396",0.341573006783878
"397",0.165844778948486
"398",0.545249536019603
"399",0.676445743355355
"400",0.243288676502238
"401",0.258045507414271
"402",0.851210734441013
"403",0.509168923019966
"404",0.0584010827390359
"405",0.406758284434419
"406",0.685732767311177
