"","x"
"1",0.0343565978109836
"2",0.0588744550419213
"3",0.0833923122728589
"4",0.107910169503797
"5",0.132428026734734
"6",0.156945883965672
"7",0.18146374119661
"8",0.205981598427547
"9",0.230499455658485
"10",0.255017312889423
"11",0.27953517012036
"12",0.304053027351298
"13",0.328570884582236
"14",0.353088741813173
"15",0.377606599044111
"16",0.402124456275049
"17",0.426642313505986
"18",0.451160170736924
"19",0.475678027967862
"20",0.500195885198799
"21",0.524713742429737
"22",0.549231599660674
"23",0.573749456891612
"24",0.59826731412255
"25",0.622785171353488
"26",0.647303028584425
"27",0.671820885815363
"28",0.6963387430463
"29",0.720856600277238
"30",0.745374457508176
"31",0.769892314739113
"32",0.794410171970051
"33",0.818928029200989
"34",0.843445886431927
"35",0.867963743662864
"36",0.892481600893802
"37",0.916999458124739
"38",0.941517315355677
"39",0.966035172586615
"40",0.990553029817552
"41",1.01507088704849
"42",1.03958874427943
"43",1.06410660151037
"44",1.0886244587413
"45",1.11314231597224
"46",1.13766017320318
"47",1.16217803043412
"48",1.18669588766505
"49",1.21121374489599
"50",1.23573160212693
"51",1.26024945935787
"52",1.2847673165888
"53",1.30928517381974
"54",1.33380303105068
"55",1.35832088828162
"56",1.38283874551256
"57",1.40735660274349
"58",1.43187445997443
"59",1.45639231720537
"60",1.48091017443631
"61",1.50542803166724
"62",1.52994588889818
"63",1.55446374612912
"64",1.57898160336006
"65",1.60349946059099
"66",1.62801731782193
"67",1.65253517505287
"68",1.67705303228381
"69",1.70157088951474
"70",1.72608874674568
"71",1.75060660397662
"72",1.77512446120756
"73",1.7996423184385
"74",1.82416017566943
"75",1.84867803290037
"76",1.87319589013131
"77",1.89771374736225
"78",1.92223160459318
"79",1.94674946182412
"80",1.97126731905506
"81",1.995785176286
"82",2.02030303351693
"83",2.04482089074787
"84",2.06933874797881
"85",2.09385660520975
"86",2.11837446244069
"87",2.14289231967162
"88",2.16741017690256
"89",2.1919280341335
"90",2.21644589136444
"91",2.24096374859537
"92",2.26548160582631
"93",2.28999946305725
"94",2.31451732028819
"95",2.33903517751912
"96",2.36355303475006
"97",2.388070891981
"98",2.41258874921194
"99",2.43710660644287
"100",2.46162446367381
"101",2.48614232090475
"102",2.51066017813569
"103",2.53517803536663
"104",2.55969589259756
"105",2.5842137498285
"106",2.60873160705944
"107",2.63324946429038
"108",2.65776732152131
"109",2.68228517875225
"110",2.70680303598319
"111",2.73132089321413
"112",2.75583875044506
"113",2.780356607676
"114",2.80487446490694
"115",2.82939232213788
"116",2.85391017936881
"117",2.87842803659975
"118",2.90294589383069
"119",2.92746375106163
"120",2.95198160829257
"121",2.9764994655235
"122",3.00101732275444
"123",3.02553517998538
"124",3.05005303721632
"125",3.07457089444725
"126",3.09908875167819
"127",3.12360660890913
"128",3.14812446614007
"129",3.172642323371
"130",3.19716018060194
"131",3.22167803783288
"132",3.24619589506382
"133",3.27071375229476
"134",3.29523160952569
"135",3.31974946675663
"136",3.34426732398757
"137",3.36878518121851
"138",3.39330303844944
"139",3.41782089568038
"140",3.44233875291132
"141",3.46685661014226
"142",3.49137446737319
"143",3.51589232460413
"144",3.54041018183507
"145",3.56492803906601
"146",3.58944589629694
"147",3.61396375352788
"148",3.63848161075882
"149",3.66299946798976
"150",3.6875173252207
"151",3.71203518245163
"152",3.73655303968257
"153",3.76107089691351
"154",3.78558875414445
"155",3.81010661137538
"156",3.83462446860632
"157",3.85914232583726
"158",3.8836601830682
"159",3.90817804029913
"160",3.93269589753007
"161",3.95721375476101
"162",3.98173161199195
"163",4.00624946922288
"164",4.03076732645382
"165",4.05528518368476
"166",4.0798030409157
"167",4.10432089814664
"168",4.12883875537757
"169",4.15335661260851
"170",4.17787446983945
"171",4.20239232707039
"172",4.22691018430132
"173",4.25142804153226
"174",4.2759458987632
"175",4.30046375599414
"176",4.32498161322507
"177",4.34949947045601
"178",4.37401732768695
"179",4.39853518491789
"180",4.42305304214883
"181",4.44757089937976
"182",4.4720887566107
"183",4.49660661384164
"184",4.52112447107258
"185",4.54564232830351
"186",4.57016018553445
"187",4.59467804276539
"188",4.61919589999633
"189",4.64371375722726
"190",4.6682316144582
"191",4.69274947168914
"192",4.71726732892008
"193",4.74178518615101
"194",4.76630304338195
"195",4.79082090061289
"196",4.81533875784383
"197",4.83985661507477
"198",4.8643744723057
"199",4.88889232953664
"200",4.91341018676758
