"","x"
"1",0.252260354926284
"2",0.662462349781945
"3",0.142791962070596
"4",0.550431502805517
"5",0.147703185400649
"6",1.00006496899616
"7",0.178707015058893
"8",0.730652037062754
"9",0.0258063428201906
"10",1.00039730136795
"11",0.677062001683723
"12",0.236315916066706
"13",0.412476052921258
"14",0.589438147595372
"15",0.367127019041823
"16",0.592480518184826
"17",0.398431554820558
"18",0.46865201525785
"19",0.77025825382261
"20",0.903967921069396
"21",0.0718355604571384
"22",0.9680282579566
"23",0.0313320074246595
"24",0.528296073444193
"25",0.817197545753207
"26",0.0330033172406273
"27",0.674496675121727
"28",0.993987664561408
"29",0.66092391189235
"30",0.0990267490586829
"31",0.0977904818454987
"32",0.967956486274078
"33",0.626548472669145
"34",0.715280548263741
"35",0.127252433645813
"36",0.405808620124529
"37",0.204576841314292
"38",0.00250753544494991
"39",0.788672313748147
"40",0.349843368066478
"41",0.467043972048831
"42",0.231616347749657
"43",0.620555612601067
"44",0.078318406598763
"45",0.136984830074999
"46",0.756459137879768
"47",0.995284731156928
"48",0.112777350071989
"49",0.529297630560668
"50",0.402203614780493
"51",0.150741539197624
"52",0.525634857361165
"53",0.427898532862663
"54",0.328960081531195
"55",0.598099645091866
"56",0.145008772624189
"57",1.00055754625054
"58",0.874011613922193
"59",0.70333995212195
"60",0.351414382208113
"61",0.639416093641719
"62",0.216582565629779
"63",0.120716459566142
"64",0.632633718063164
"65",0.420424698279595
"66",0.318851653644285
"67",0.0579792965795896
"68",1.0004770463094
"69",0.0348856777450026
"70",0.459163793929264
"71",0.468123928288273
"72",0.267378673543063
"73",0.555861296534142
"74",0.701478284659026
"75",0.999245377844533
"76",0.189729102634764
"77",0.787589307381263
"78",1.00034518468779
"79",0.572696833938503
"80",0.829544715764348
"81",0.102954064953134
"82",0.227087678410833
"83",0.000102287432360572
"84",0.45726502255117
"85",0.618342684221519
"86",0.0561645475742346
"87",0
"88",0.489054665848086
"89",0.863380225783958
"90",0.582498255120017
"91",0.753835699449541
"92",0.453032971357995
"93",0.292829282421719
"94",0.878839893919592
"95",0.152384721449921
"96",0.427644166179383
"97",0.0189411076842366
"98",0.413164602533108
"99",0
"100",0.641673548822896
"101",0.0063607811253469
"102",1.0003211025937
"103",0.0955085614015575
"104",0.0297472347367364
"105",0
"106",0.691393399388258
"107",0.731560402673048
"108",0.562404158189094
"109",0.0659477478441067
"110",0.132171291038627
"111",0.593857141941637
"112",0.526668354114846
"113",0.335219142086559
"114",0.162702995186624
"115",0.453736286146102
"116",0.753367593583862
"117",0.307301812202077
"118",0.648726314298405
"119",0
"120",0.675589571779136
"121",0.905070286193329
"122",0.223494148503476
"123",0.644882433869484
"124",0.870164410317837
"125",0.232412212782885
"126",0.643659360988897
"127",0.809784335270952
"128",0.187486445970942
"129",0.662779072508683
"130",0.425673478252657
"131",0.833960503031151
"132",0.610563906705511
"133",0.251923768931936
"134",0.376051793162992
"135",0.369981471617345
"136",0.895565167137984
"137",0.296675076473465
"138",0.977603703937214
"139",0.0359686424023747
"140",0.0672698028170676
"141",0.349068437530502
"142",0.28322028707615
"143",0.00445032041636468
"144",0.255911185518764
"145",0.290020871317227
"146",0.202673196835615
"147",0.169977107196274
"148",0.0164555851265386
"149",0.706357199079671
"150",0.537749586546104
"151",0.335859338451145
"152",0.688498525891864
"153",0.536392445696452
"154",0.196261556707859
"155",0.160006453387298
"156",0.0747870921585742
"157",0.634178013321959
"158",0.426934434678703
"159",0.888475867555546
"160",0
"161",0.335773103223919
"162",0.543728862000046
"163",0.412204264824451
"164",0.499572375651655
"165",0.345168412863318
"166",0.374645991217694
"167",0.92709267411158
