"","x"
"1",0.61815030077775
"2",0.138260422165823
"3",0.00785648707022754
"4",0.592936767106669
"5",0.276551842972356
"6",0.996360704857162
"7",0.473268461843064
"8",0.751822258669403
"9",0.234249671157648
"10",0.835793696041437
"11",0.377122055451291
"12",0.437273366084531
"13",0.0701105243261455
"14",0.697876116019696
"15",0.407597414263863
"16",0.527256498478945
"17",0.225649277599971
"18",0.731250114212761
"19",0.781860863163619
"20",0.776896257998387
"21",0.178292451162717
"22",0.975980319132631
"23",0.0425384666840155
"24",0.474367067857569
"25",0.759548938934343
"26",0.188431903873961
"27",0.711729172916686
"28",0.904317109644724
"29",0.567769013542024
"30",0.124522073214485
"31",0.284695609254026
"32",0.610703113648877
"33",0.504884857990444
"34",0.0958052115271294
"35",0.28010715753824
"36",0.597264107015108
"37",4.29821908847915e-05
"38",0
"39",0.708036769130136
"40",0.303583121464572
"41",0.532285362972586
"42",0.414859520746066
"43",0.134437280980846
"44",0.197512010662052
"45",0.304479183610035
"46",0.748332001569115
"47",0.840452880228549
"48",0.243419328311604
"49",0.56846405971018
"50",0.4720703635385
"51",0.203505691458016
"52",0.467150714014678
"53",0.443745931378017
"54",0.544706730729692
"55",0.57987508448569
"56",0.261292340414232
"57",1.00048527408699
"58",0.830026328958822
"59",0.735876284102417
"60",0.12246877622521
"61",0.128948835301563
"62",0.159719261583941
"63",0.0274014034685598
"64",0.650286997086322
"65",0.682773985691957
"66",0.394693253606173
"67",0.16920906678685
"68",0.983258604146456
"69",0.498229997030015
"70",0.922887817417809
"71",0.600127734138818
"72",0.422940678355083
"73",0.565188551450395
"74",0.689910937386413
"75",0.913531072030953
"76",0.200664706716176
"77",0.927798032866003
"78",0.94824535872492
"79",0.0770791748687861
"80",0.88741940197786
"81",0.227531935241337
"82",0.769177619681758
"83",0.0140796244442258
"84",0.670325349518068
"85",0.819062217594409
"86",0.120467335230963
"87",0.269588349977697
"88",0.574355763426696
"89",0.818378661659504
"90",0.621010732920034
"91",0.684337624799259
"92",0.398192623789197
"93",0.594150286899391
"94",0.719149101539985
"95",0.322640741676487
"96",0.343989096800901
"97",0.100749864938226
"98",0.608084987709283
"99",0.000238385162371817
"100",0.607825724122943
"101",0.0649513076096206
"102",0.955398847892942
"103",0.000337015827773876
"104",0.298458774484733
"105",0
"106",0.544687501336398
"107",0.371219112320247
"108",0.484740249135399
"109",0.197535768383244
"110",0.232686882674792
"111",0.516240773851036
"112",0.612865978116043
"113",0.452003044995979
"114",0.0783139768309476
"115",0.638279591131706
"116",0.766609693531618
"117",0.136580988016911
"118",0.457951898500486
"119",0.325082774307239
"120",0.565463890647996
"121",0.876616303121456
"122",0.345774448739666
"123",0.770720980955448
"124",0.680192412993669
"125",0.194721956038261
"126",0.601368615185501
"127",0.826300374423163
"128",0.120550501551933
"129",0.668054767292654
"130",0.102213665511665
"131",0.929371291338102
"132",0.321263123587691
"133",0.268361407982522
"134",0.756127982786305
"135",0.629251424819365
"136",0.76473537320048
"137",0.43270973680971
"138",0.979186241684682
"139",0.0610550199860526
"140",0.0118900255676646
"141",0.160616746310043
"142",0.400954220338546
"143",0.0159321218391942
"144",0.381660495543943
"145",0.526103258549064
"146",0.669655774609077
"147",0.0952538443496664
"148",0.344188949137736
"149",0.204710943111212
"150",0.166597452158383
"151",0.457253272363545
"152",0.290345396678778
"153",0.416390557664232
"154",0.332509496226235
"155",0.506348858126109
"156",0.144436298837897
"157",0.267839145014476
"158",0.447033306725116
"159",0.904763265131005
