,loss,val_loss
0,971539.6875,956296.4375
1,943799.6875,928918.1875
2,916735.125,902212.9375
3,890331.125,876164.0
4,864578.5,850767.8125
5,839465.875,825994.75
6,814980.0625,801848.0
7,791109.8125,778311.5625
8,767844.6875,755368.5625
9,745170.6875,733013.75
10,723078.3125,711234.625
11,701555.125,690018.8125
12,680589.6875,669352.3125
13,660171.1875,649229.1875
14,640289.125,629637.8125
15,620932.0,610560.25
16,602087.8125,591993.625
17,583747.6875,573926.9375
18,565900.0625,556342.125
19,548534.0625,539233.1875
20,531639.6875,522595.3125
21,515207.0625,506409.15625
22,499224.90625,490668.875
23,483684.25,475366.9375
24,468574.625,460486.9375
25,453886.75,446029.0
26,439610.90625,431972.53125
27,425736.90625,418314.15625
28,412256.25,405045.34375
29,399159.09375,392154.15625
30,386437.1875,379632.96875
31,374080.4375,367472.3125
32,362080.8125,355663.5
33,350429.875,344199.6875
34,339118.40625,333070.75
35,328138.71875,322269.03125
36,317482.375,311787.125
37,307141.1875,301614.40625
38,297107.09375,291744.375
39,287372.3125,282170.5625
40,277929.3125,272885.28125
41,268770.625,263878.15625
42,259888.921875,255143.890625
43,251276.796875,246676.78125
44,242927.15625,238467.46875
45,234833.21875,230510.140625
46,226987.9375,222798.625
47,219384.828125,215324.703125
48,212017.140625,208084.375
49,204878.9375,201068.296875
50,197963.5,194271.84375
51,191264.71875,187689.578125
52,184776.765625,181314.484375
53,178493.734375,175140.390625
54,172409.6875,169163.234375
55,166519.296875,163376.203125
56,160816.75,157774.796875
57,155297.03125,152352.875
58,149954.5,147104.84375
59,144784.328125,142026.796875
60,139781.4375,137113.65625
61,134941.0625,132359.5
62,130258.171875,127760.8515625
63,125728.375,123313.1875
64,121346.953125,119011.0234375
65,117109.6484375,114850.640625
66,113012.0078125,110827.953125
67,109049.9453125,106937.8203125
68,105219.34375,103177.71875
69,101516.1640625,99542.9921875
70,97936.4921875,96028.9765625
71,94476.6484375,92633.3203125
72,91132.875,89351.09375
73,87901.640625,86180.3125
74,84779.40625,83116.078125
75,81762.796875,80156.1875
76,78848.4765625,77296.4765625
77,76033.234375,74534.0703125
78,73313.9765625,71865.9140625
79,70687.671875,69289.3359375
80,68151.3359375,66800.9375
81,65702.0859375,64398.3203125
82,63337.15625,62078.00390625
83,61053.80859375,59838.328125
84,58849.4765625,57676.23828125
85,56721.46484375,55588.84765625
86,54667.4140625,53574.21875
87,52684.87890625,51629.9140625
88,50771.5234375,49753.42578125
89,48925.0546875,47942.60546875
90,47143.28515625,46195.85546875
91,45424.0625,44509.59375
92,43765.33203125,42882.7578125
93,42165.0859375,41313.9765625
94,40621.32421875,39800.54296875
95,39132.21484375,38340.4140625
96,37695.87890625,36931.96875
97,36310.57421875,35573.859375
98,34974.54296875,34264.33203125
99,33686.1953125,33001.09375
100,32443.83203125,31783.126953125
101,31245.873046875,30609.162109375
102,30090.84765625,29477.361328125
103,28977.279296875,28385.6484375
104,27903.73828125,27333.09375
105,26868.873046875,26319.037109375
106,25871.296875,25341.685546875
107,24909.77734375,24398.6328125
108,23983.02734375,23490.84765625
109,23089.861328125,22615.3359375
110,22229.16015625,21772.376953125
111,21399.666015625,20959.869140625
112,20600.365234375,20176.095703125
113,19830.185546875,19421.51171875
114,19088.154296875,18695.80859375
115,18373.232421875,17993.611328125
116,17684.47265625,17319.125
117,17020.96484375,16668.984375
118,16381.80859375,16042.4814453125
119,15766.1171875,15439.3828125
120,15173.044921875,14858.486328125
121,14601.814453125,14298.9501953125
122,14051.646484375,13760.140625
123,13521.791015625,13241.09375
124,13011.5068359375,12741.1181640625
125,12520.1015625,12259.671875
126,12046.8857421875,11795.947265625
127,11591.24609375,11350.0439453125
128,11152.5107421875,10920.35546875
129,10730.0693359375,10506.09765625
130,10323.3173828125,10107.5654296875
131,9931.72265625,9724.333984375
