,loss,val_loss
0,941417.3125,926826.6875
1,914536.8125,900296.25
2,888310.6875,874415.0625
3,862724.625,849168.25
4,837769.625,824554.6875
5,813435.3125,800544.5625
6,789708.0,777142.0
7,766577.4375,754330.625
8,744033.125,732094.625
9,722061.6875,710428.75
10,700653.8125,689321.25
11,679797.625,668759.125
12,659481.875,648729.125
13,639696.25,629225.875
14,620430.1875,610237.6875
15,601673.0,591748.5625
16,583412.9375,573753.9375
17,565641.0625,556244.375
18,548346.8125,539200.9375
19,531519.0,522619.65625
20,515148.1875,506493.59375
21,499224.875,490805.90625
22,483738.21875,475551.75
23,468679.28125,460720.21875
24,454038.09375,446299.59375
25,439805.46875,432285.6875
26,425972.21875,418663.40625
27,412528.1875,405425.4375
28,399465.59375,392565.90625
29,386774.4375,380071.71875
30,374446.875,367936.40625
31,362473.28125,356150.5
32,350845.75,344705.53125
33,339555.96875,333594.5
34,328595.3125,322808.46875
35,317956.0625,312339.78125
36,307630.21875,302180.9375
37,297609.625,292321.0
38,287886.59375,282755.0
39,278453.875,273476.53125
40,269303.65625,264476.53125
41,260429.0625,255747.390625
42,251822.765625,247283.1875
43,243477.71875,239075.96875
44,235387.203125,231119.578125
45,227544.234375,223407.84375
46,219942.375,215933.9375
47,212575.125,208690.609375
48,205435.96875,201673.265625
49,198519.109375,194872.859375
50,191818.171875,188285.84375
51,185327.328125,181906.734375
52,179040.578125,175727.65625
53,172952.484375,169744.421875
54,167057.25,163950.546875
55,161349.5625,158342.234375
56,155823.90625,152913.203125
57,150475.421875,147657.8125
58,145298.734375,142572.140625
59,140288.984375,137650.25
60,135441.34375,132888.328125
61,130751.078125,128280.9140625
62,126213.53125,123824.546875
63,121824.2890625,119513.2734375
64,117578.859375,115343.78125
65,113473.0,111311.6015625
66,109502.5546875,107412.375
67,105663.4765625,103642.8046875
68,101951.6875,99998.765625
69,98363.4609375,96475.234375
70,94894.9453125,93069.9921875
71,91542.4375,89778.296875
72,88302.5078125,86597.8046875
73,85171.640625,83524.4375
74,82146.2578125,80554.6015625
75,79223.2734375,77685.4609375
76,76399.4296875,74914.1015625
77,73671.609375,72236.7890625
78,71036.78125,69650.984375
79,68492.03125,67153.6875
80,66034.4140625,64742.2421875
81,63661.1875,62413.3203125
82,61369.6875,60164.83984375
83,59157.33984375,57994.26953125
84,57021.3984375,55898.51171875
85,54959.51171875,53876.0
86,52969.26171875,51923.421875
87,51048.3125,50038.71484375
88,49194.359375,48220.0703125
89,47405.25,46465.12109375
90,45678.859375,44771.69140625
91,44012.98828125,43138.0859375
92,42405.81640625,41561.4375
93,40855.23828125,40040.87109375
94,39359.4375,38573.8046875
95,37916.6015625,37159.0859375
96,36524.87109375,35793.95703125
97,35182.6171875,34477.79296875
98,33888.109375,33208.30859375
99,32639.716796875,31984.505859375
100,31435.916015625,30803.8125
101,30275.154296875,29665.97265625
102,29156.021484375,28568.513671875
103,28077.07421875,27510.775390625
104,27036.83984375,26491.005859375
105,26034.091796875,25507.859375
106,25067.513671875,24560.15234375
107,24135.890625,23646.994140625
108,23237.92578125,22766.822265625
109,22372.513671875,21919.841796875
110,21538.49609375,21101.033203125
111,20734.80859375,20313.380859375
112,19960.373046875,19553.8203125
113,19214.1640625,18822.501953125
114,18495.171875,18118.23828125
115,17802.435546875,17438.955078125
116,17135.046875,16785.369140625
117,16492.162109375,16154.8251953125
118,15872.865234375,15547.93359375
119,15276.3515625,14963.412109375
120,14701.724609375,14400.1787109375
121,14148.2509765625,13857.951171875
122,13615.185546875,13335.90625
123,13101.8212890625,12832.595703125
124,12607.4384765625,12348.0751953125
125,12131.314453125,11881.6904296875
126,11672.8291015625,11432.3701171875
127,11231.3525390625,10999.755859375
128,10806.2412109375,10583.36328125
129,10396.931640625,10182.4091796875
130,10002.91015625,9796.7646484375
131,9623.517578125,9424.734375
132,9258.2646484375,9066.7998046875
133,8906.6015625,8722.3232421875
134,8568.1181640625,8391.0595703125
135,8242.28515625,8071.5673828125
136,7928.625,7764.4931640625
137,7626.7119140625,7468.41259765625
138,7336.11083984375,7184.2001953125
139,7056.4140625,6909.82275390625
140,6787.2451171875,6646.34326171875
