,loss,val_loss
0,946089.5,931425.5
1,919075.5,904764.5625
2,892719.0625,878755.6875
3,867006.125,853382.125
4,841927.3125,828646.0625
5,817472.0625,804516.875
6,793627.1875,780999.0
7,770381.5625,758074.625
8,747725.5,735727.3125
9,725644.9375,713954.6875
10,704130.9375,692742.0
11,683171.1875,672077.3125
12,662754.75,651948.125
13,642870.8125,632348.125
14,623509.1875,613266.0625
15,604658.875,594685.125
16,586308.1875,576600.8125
17,568448.125,559003.3125
18,551068.0,541876.625
19,534156.75,525212.875
20,517704.8125,509006.65625
21,501702.28125,493241.5625
22,486138.8125,477910.78125
23,471005.15625,463006.40625
24,456291.25,448513.90625
25,441988.0625,434430.25
26,428086.0,420740.375
27,414575.25,407437.40625
28,401447.8125,394513.15625
29,388693.78125,381957.1875
30,376304.96875,369762.0
31,364271.875,357917.34375
32,352586.75,346416.03125
33,341240.875,335249.59375
34,330225.84375,324410.03125
35,319533.8125,313889.40625
36,309156.6875,303679.6875
37,299086.28125,293771.09375
38,289315.09375,284157.75
39,279835.5,274833.28125
40,270639.96875,265788.0625
41,261721.25,257015.765625
42,253072.234375,248509.28125
43,244685.75,240261.84375
44,236555.125,232266.390625
45,228673.25,224516.140625
46,221033.6875,217004.921875
47,213629.796875,209726.0
48,206455.25,202672.859375
49,199504.0625,195839.46875
50,192769.859375,189219.765625
51,186246.75,182808.125
52,179928.90625,176599.25
53,173810.5,170586.234375
54,167886.09375,164763.765625
55,162150.046875,159127.734375
56,156596.984375,153671.609375
57,151221.921875,148389.828125
58,146019.53125,143278.953125
59,140984.96875,138332.609375
60,136113.28125,133547.34375
61,131399.65625,128916.9921875
62,126839.5859375,124438.265625
63,122428.5703125,120105.53125
64,118162.109375,115915.515625
65,114035.875,111863.5078125
66,110045.734375,107944.8828125
67,106187.5546875,104156.5546875
68,102457.453125,100493.7578125
69,98851.3515625,96953.296875
70,95365.609375,93531.1015625
71,91996.515625,90223.421875
72,88740.484375,87027.2109375
73,85594.046875,83938.34375
74,82553.6953125,80954.0
75,79616.1875,78070.78125
76,76778.3671875,75285.328125
77,74037.03125,72594.8125
78,71389.140625,69996.421875
79,68831.7578125,67486.4609375
80,66361.90625,65062.99609375
81,63977.0078125,62722.8203125
82,61674.12109375,60463.140625
83,59450.72265625,58281.8515625
84,57304.2109375,56175.8828125
85,55232.08984375,54142.609375
86,53231.9453125,52180.3984375
87,51301.515625,50286.48828125
88,49438.38671875,48459.140625
89,47640.37890625,46695.76171875
90,45905.4765625,44993.4140625
91,44231.34765625,43351.3984375
92,42616.14453125,41767.3359375
93,41057.90625,40239.04296875
94,39554.78125,38764.7265625
95,38104.7421875,37342.94140625
96,36706.12890625,35971.234375
97,35357.21875,34648.6484375
98,34056.29296875,33372.87109375
99,32801.78515625,32142.767578125
100,31592.044921875,30956.466796875
101,30425.568359375,29812.83984375
102,29300.8984375,28710.3671875
103,28216.595703125,27647.50390625
104,27171.25390625,26622.302734375
105,26163.546875,25634.53125
106,25192.216796875,24682.1796875
107,24255.984375,23764.87109375
108,23353.609375,22879.853515625
109,22483.908203125,22027.763671875
110,21645.79296875,21206.0234375
111,20838.125,20414.181640625
112,20059.841796875,19651.3359375
113,19309.9609375,18916.615234375
114,18587.46875,18208.216796875
115,17891.36328125,17526.0859375
116,17220.732421875,16868.8671875
117,16574.677734375,16235.849609375
118,15952.3447265625,15625.8134765625
119,15352.8515625,15038.259765625
120,14775.3779296875,14472.3212890625
121,14219.18359375,13927.63671875
122,13683.50390625,13402.6484375
123,13167.560546875,12896.982421875
124,12670.7841796875,12410.228515625
125,12192.3505859375,11941.384765625
126,11731.6767578125,11490.1181640625
127,11288.0556640625,11055.3232421875
128,10860.90625,10636.837890625
129,10449.6318359375,10233.9765625
130,10053.638671875,9846.001953125
131,9672.39453125,9472.474609375
132,9305.3291015625,9112.8349609375
133,8951.9326171875,8766.6748046875
134,8611.78125,8433.4912109375
135,8284.427734375,8112.755859375
136,7969.26708984375,7803.94921875
137,7665.83642578125,7506.712890625
138,7373.78125,7220.63623046875
139,7092.671875,6945.423828125
140,6822.1064453125,6680.26416015625
141,6561.68359375,6425.216796875
142,6311.126953125,6179.82275390625
143,6070.02978515625,5943.63232421875
144,5838.01416015625,5716.43212890625
145,5614.76904296875,5497.92333984375
146,5399.93505859375,5287.4521484375
147,5193.17138671875,5084.84033203125
148,4994.21630859375,4889.9736328125
149,4802.7568359375,4702.4404296875
150,4618.5087890625,4521.9921875
151,4441.2734375,4348.4052734375
